"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
5,3,"balanced","normal","homogeneous",0,0.0848,0.0586,0.280055362848056,0.367509408022372,0.173577962541876
6,3,"balanced","normal","homogeneous",0.4322,0.3186,0.2588,0.280065304427832,0.367493318018303,0.191127845415799
8,3,"balanced","normal","homogeneous",1,0.8886,0.8986,0.280043768675493,0.367509104443454,0.218045440669836
10,3,"balanced","normal","homogeneous",1,0.9994,0.9973,0.280043469751994,0.367498193095621,0.243214320459189
5,5,"balanced","normal","homogeneous",0.0364,0.1883,0.0651,0.280045533105319,0.367506631196706,0.225362269848782
6,5,"balanced","normal","homogeneous",0.7107,0.4247,0.4405,0.280045584908875,0.367509080391799,0.254517688979384
8,5,"balanced","normal","homogeneous",1,0.9336,0.9791,0.280059955119459,0.367490111627339,0.294533459000943
10,5,"balanced","normal","homogeneous",1,0.9996,0.9998,0.280062001205036,0.367501967483506,0.317168321228076
5,8,"balanced","normal","homogeneous",0.386,0.3207,0.1818,0.280051918783488,0.367489800352767,0.272160683667637
6,8,"balanced","normal","homogeneous",0.9758,0.621,0.7182,0.280051704298833,0.367509297964501,0.320574469449253
8,8,"balanced","normal","homogeneous",1,0.9868,0.9986,0.280044851732443,0.367496913795465,0.367228526311924
10,8,"balanced","normal","homogeneous",1,0.9999,1,0.280049485094663,0.367465930249846,0.40043246706443
5,3,"unbalanced","normal","homogeneous",0,0.1243,0.0525,0.280072673766836,0.367504454118875,0.172944553975995
6,3,"unbalanced","normal","homogeneous",0.4243,0.3009,0.271,0.280049089261848,0.367505745607897,0.19083241097668
8,3,"unbalanced","normal","homogeneous",1,0.8725,0.8945,0.280045438109583,0.367509811584204,0.219891373661411
10,3,"unbalanced","normal","homogeneous",1,0.9988,0.9971,0.28005334888803,0.367506232932408,0.237321119206398
5,5,"unbalanced","normal","homogeneous",0.0365,0.1943,0.067,0.280046784825078,0.367506700598757,0.230914884773472
6,5,"unbalanced","normal","homogeneous",0.7094,0.4261,0.4449,0.2800477113655,0.367509702081852,0.259241976460829
8,5,"unbalanced","normal","homogeneous",1,0.9386,0.9792,0.280064033987539,0.367508238126231,0.291392272276939
10,5,"unbalanced","normal","homogeneous",1,0.9993,0.9998,0.280044598815675,0.36748847665706,0.317530879878068
5,8,"unbalanced","normal","homogeneous",0.387,0.3238,0.178,0.280045646889991,0.367510985589066,0.274107779178773
6,8,"unbalanced","normal","homogeneous",0.9788,0.6223,0.7331,0.280049524561402,0.367506122995033,0.313018436785927
8,8,"unbalanced","normal","homogeneous",1,0.9867,0.9988,0.280045021920857,0.367510946937919,0.369467228256854
10,8,"unbalanced","normal","homogeneous",1,1,1,0.280058724887706,0.367509265167729,0.401203610832498
5,3,"balanced","exponential","homogeneous",0,0.203,0.2671,0.280046224893089,0.367501652899055,0.150686376444706
6,3,"balanced","exponential","homogeneous",0.4388,0.4189,0.5912,0.280050805432687,0.367506400048642,0.16898171617831
8,3,"balanced","exponential","homogeneous",1,0.8672,0.9727,0.280051392689934,0.367501324695453,0.197184209488504
10,3,"balanced","exponential","homogeneous",1,0.9937,0.9992,0.280044004845329,0.367510821711958,0.219534148536805
5,5,"balanced","exponential","homogeneous",0.036,0.4048,0.4458,0.280048608419418,0.36750846009684,0.198066867374426
6,5,"balanced","exponential","homogeneous",0.7128,0.6335,0.8258,0.280046755066413,0.367511113117834,0.2265364837007
8,5,"balanced","exponential","homogeneous",1,0.9405,0.9977,0.280059559659554,0.36750687104002,0.254744618519934
10,5,"balanced","exponential","homogeneous",1,0.9967,1,0.280047001698519,0.367496399400743,0.280591486854289
5,8,"balanced","exponential","homogeneous",0.3963,0.6321,0.7234,0.280054231530599,0.367508200552009,0.235537968720558
6,8,"balanced","exponential","homogeneous",0.9769,0.8279,0.966,0.280047005977988,0.367496386057817,0.27753878604535
8,8,"balanced","exponential","homogeneous",1,0.9899,1,0.280045827787785,0.367492437152961,0.323080899457224
10,8,"balanced","exponential","homogeneous",1,0.9999,1,0.280044046487842,0.367485678927611,0.359738110655443
