"n","k","balance","dist","var_type","attempts_total","accepted","complete","acceptance_rate","eta_min","eta_mean","eta_max","power_anova","power_welch","power_kw","welch_fail_rate"
10,8,"balanced","poisson","homogeneous",2258496,10000,TRUE,0.00442772535350959,0.280049566294919,0.30445521099958,0.367287046324157,1,0.995,0.9996,0
10,8,"unbalanced","poisson","homogeneous",2222877,10000,TRUE,0.00449867446556872,0.280045315573006,0.304498133988606,0.367479613928039,1,0.994799479947995,0.9999,1e-04
10,3,"balanced","negbin","homogeneous",1024543,10000,TRUE,0.00976044929300186,0.280058224163028,0.312630097850337,0.367403314917127,1,0.8831,0.9328,0
10,5,"balanced","negbin","homogeneous",2006017,10000,TRUE,0.00498500261961888,0.280049875311721,0.308859557090135,0.36748182419035,1,0.7748,0.9088,0
8,8,"balanced","negbin","homogeneous",1117507,10000,TRUE,0.00894848980811753,0.280046157768325,0.307603201072226,0.367504563965736,1,0.623986385023526,0.762,0.0011
10,8,"balanced","negbin","homogeneous",5000000,8345,FALSE,0.001669,0.280047893983826,0.304331274713827,0.367327387297432,1,0.792640536977107,0.914319952067106,0.000239664469742361
10,3,"unbalanced","negbin","homogeneous",994043,10000,TRUE,0.0100599269850499,0.280044049071378,0.312041663017247,0.367506802990674,1,0.8582,0.9238,0
10,5,"unbalanced","negbin","homogeneous",1966916,10000,TRUE,0.00508410120208489,0.280043848389172,0.308783984044697,0.36746610489926,1,0.7718,0.8959,0
8,8,"unbalanced","negbin","homogeneous",1116936,10000,TRUE,0.00895306445490162,0.28004541163134,0.30799060432391,0.367461250495414,1,0.619147659063625,0.7554,4e-04
10,8,"unbalanced","negbin","homogeneous",5000000,8473,FALSE,0.0016946,0.280046443851367,0.304485951100585,0.367443434377478,1,0.788032574058775,0.906172548093945,0
10,8,"balanced","poisson","heterogeneous",2243514,10000,TRUE,0.00445729333536586,0.280049566294919,0.304294416471723,0.367397960616871,1,0.9956,0.9997,0
10,8,"unbalanced","poisson","heterogeneous",2222877,10000,TRUE,0.00449867446556872,0.280045315573006,0.304498133988606,0.367479613928039,1,0.994799479947995,0.9999,1e-04
10,3,"balanced","negbin","heterogeneous",1024543,10000,TRUE,0.00976044929300186,0.280058224163028,0.312630097850337,0.367403314917127,1,0.8831,0.9328,0
10,5,"balanced","negbin","heterogeneous",2006017,10000,TRUE,0.00498500261961888,0.280049875311721,0.308859557090135,0.36748182419035,1,0.7748,0.9088,0
8,8,"balanced","negbin","heterogeneous",1117507,10000,TRUE,0.00894848980811753,0.280046157768325,0.307603201072226,0.367504563965736,1,0.623986385023526,0.762,0.0011
10,8,"balanced","negbin","heterogeneous",5000000,8323,FALSE,0.0016646,0.280043852577952,0.304424479371692,0.367358186908882,1,0.79464071136746,0.915775561696504,0.000120148984741079
10,3,"unbalanced","negbin","heterogeneous",994043,10000,TRUE,0.0100599269850499,0.280044049071378,0.312041663017247,0.367506802990674,1,0.8582,0.9238,0
10,5,"unbalanced","negbin","heterogeneous",1966916,10000,TRUE,0.00508410120208489,0.280043848389172,0.308783984044697,0.36746610489926,1,0.7718,0.8959,0
8,8,"unbalanced","negbin","heterogeneous",1116936,10000,TRUE,0.00895306445490162,0.28004541163134,0.30799060432391,0.367461250495414,1,0.619147659063625,0.7554,4e-04
10,8,"unbalanced","negbin","heterogeneous",5000000,8473,FALSE,0.0016946,0.280046443851367,0.304485951100585,0.367443434377478,1,0.788032574058775,0.906172548093945,0
