"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
5,3,"balanced","exponential","heterogeneous",0,0.2124,0.4327,0.28004607263993,0.367502380518799,0.186901913875598
6,3,"balanced","exponential","heterogeneous",0.4624,0.4846,0.7348,0.280062280360798,0.36751145666928,0.211954217888936
8,3,"balanced","exponential","heterogeneous",1,0.8593,0.9848,0.280050110304291,0.367503287742301,0.252633706389106
10,3,"balanced","exponential","heterogeneous",1,0.9848,0.9998,0.280049491787324,0.367511240615523,0.278450700303511
5,5,"balanced","exponential","heterogeneous",0.0396,0.4161,0.5686,0.280052550143513,0.367508076165018,0.232563547989488
6,5,"balanced","exponential","heterogeneous",0.7274,0.6446,0.881,0.280043194740371,0.367504835807787,0.259922543082162
8,5,"balanced","exponential","heterogeneous",1,0.9358,0.9982,0.280049627790037,0.36746938149919,0.308756329504755
10,5,"balanced","exponential","heterogeneous",1,0.995,1,0.280047610525375,0.367493915213034,0.352858151023289
5,8,"balanced","exponential","heterogeneous",0.4092,0.6044,0.7852,0.280049190892345,0.367496789298755,0.271643169532502
6,8,"balanced","exponential","heterogeneous",0.9795,0.8123,0.9764,0.280045722102337,0.367501323051713,0.318319274232055
8,8,"balanced","exponential","heterogeneous",1,0.9832,1,0.280045385635189,0.367507711963871,0.383083052405762
10,8,"balanced","exponential","heterogeneous",1,0.9993,1,0.280056156493806,0.367507558467161,0.431536702196522
5,3,"unbalanced","exponential","heterogeneous",0,0.4058,0.4828,0.280055670069025,0.367492475846547,0.204482250940618
6,3,"unbalanced","exponential","heterogeneous",0.4439,0.5786,0.764,0.2800473095712,0.367505519024466,0.225392746861406
8,3,"unbalanced","exponential","heterogeneous",1,0.8999,0.9884,0.280054864677786,0.367510486766122,0.258144457638495
10,3,"unbalanced","exponential","heterogeneous",1,0.9968,0.9998,0.280046244344458,0.367507877230795,0.285143997718848
5,5,"unbalanced","exponential","heterogeneous",0.0371,0.4867,0.6103,0.280046147023005,0.367511450356021,0.250294095562286
6,5,"unbalanced","exponential","heterogeneous",0.721,0.6875,0.8949,0.280048287748813,0.36750518069575,0.282103362672083
8,5,"unbalanced","exponential","heterogeneous",1,0.9451,0.9984,0.28004333880113,0.367507408466217,0.31750063500127
10,5,"unbalanced","exponential","heterogeneous",1,0.9959,0.9999,0.280059915579601,0.367503270153633,0.358834505526051
5,8,"unbalanced","exponential","heterogeneous",0.3957,0.6389,0.7976,0.280044602427071,0.367501599027442,0.280198380453361
6,8,"unbalanced","exponential","heterogeneous",0.9778,0.8348,0.9763,0.280048608773027,0.367510654175464,0.328893274132544
8,8,"unbalanced","exponential","heterogeneous",1,0.9851,0.9998,0.280044647926639,0.367500461026593,0.395491398062092
10,8,"unbalanced","exponential","heterogeneous",1,0.9996,1,0.280050524685518,0.367481370404541,0.425495702493405
5,3,"balanced","exponential","homogeneous",0,0.203,0.2671,0.280046224893089,0.367501652899055,0.150686376444706
6,3,"balanced","exponential","homogeneous",0.4388,0.4189,0.5912,0.280050805432687,0.367506400048642,0.16898171617831
8,3,"balanced","exponential","homogeneous",1,0.8672,0.9727,0.280051392689934,0.367501324695453,0.197184209488504
10,3,"balanced","exponential","homogeneous",1,0.9937,0.9992,0.280044004845329,0.367510821711958,0.219534148536805
5,5,"balanced","exponential","homogeneous",0.036,0.4048,0.4458,0.280048608419418,0.36750846009684,0.198066867374426
6,5,"balanced","exponential","homogeneous",0.7128,0.6335,0.8258,0.280046755066413,0.367511113117834,0.2265364837007
8,5,"balanced","exponential","homogeneous",1,0.9405,0.9977,0.280059559659554,0.36750687104002,0.254744618519934
10,5,"balanced","exponential","homogeneous",1,0.9967,1,0.280047001698519,0.367496399400743,0.280591486854289
5,8,"balanced","exponential","homogeneous",0.3963,0.6321,0.7234,0.280054231530599,0.367508200552009,0.235537968720558
6,8,"balanced","exponential","homogeneous",0.9769,0.8279,0.966,0.280047005977988,0.367496386057817,0.27753878604535
8,8,"balanced","exponential","homogeneous",1,0.9899,1,0.280045827787785,0.367492437152961,0.323080899457224
10,8,"balanced","exponential","homogeneous",1,0.9999,1,0.280044046487842,0.367485678927611,0.359738110655443
5,3,"unbalanced","exponential","homogeneous",0,0.2822,0.3335,0.280053708715174,0.367495033921336,0.158413332066027
6,3,"unbalanced","exponential","homogeneous",0.4377,0.4522,0.6102,0.28005515906957,0.367503948099831,0.174440916861459
8,3,"unbalanced","exponential","homogeneous",1,0.8816,0.9676,0.280063954288909,0.367508564037031,0.197491853461045
10,3,"unbalanced","exponential","homogeneous",1,0.9985,0.9986,0.280044541069552,0.367493254051069,0.2210433244916
5,5,"unbalanced","exponential","homogeneous",0.0364,0.4454,0.488,0.280045099875366,0.367505113435832,0.20505249343832
6,5,"unbalanced","exponential","homogeneous",0.7168,0.6509,0.8353,0.280044660769097,0.367508933142087,0.230191980111413
