"n","k","balance","dist","var_type","attempts_total","accepted","complete","acceptance_rate","eta_min","eta_mean","eta_max","power_anova","power_welch","power_kw","welch_fail_rate"
5,3,"balanced","negbin","heterogeneous",132811,10000,TRUE,0.0752949680372861,0.280091708062667,0.318437263871055,0.3675,0,0.0861234368697055,0.1179,0.0084
6,3,"balanced","negbin","heterogeneous",191457,10000,TRUE,0.0522310492695488,0.280045784051889,0.31690357200164,0.367478180983004,0.3267,0.257045431752081,0.3125,0.0029
8,3,"balanced","negbin","heterogeneous",443101,10000,TRUE,0.022568218081205,0.280063570545647,0.314237397006466,0.367469879518072,1,0.565713142628526,0.7377,2e-04
10,3,"balanced","negbin","heterogeneous",1025981,10000,TRUE,0.00974676918968285,0.280044427989633,0.312135461404839,0.367498376773954,1,0.883,0.9352,0
5,5,"balanced","negbin","heterogeneous",111005,10000,TRUE,0.0900860321607135,0.280057595392369,0.317059742903073,0.367510996511452,0.0206,0.159458367016977,0.126,0.0104
6,5,"balanced","negbin","heterogeneous",187972,10000,TRUE,0.053199412678484,0.28005115089514,0.314676648304082,0.3675111263266,0.5615,0.293290478103656,0.3265,0.0044
8,5,"balanced","negbin","heterogeneous",594454,10000,TRUE,0.0168221594942586,0.28004517842425,0.311653673874437,0.367481484652597,1,0.575860688550841,0.7388,8e-04
10,5,"balanced","negbin","heterogeneous",1990106,10000,TRUE,0.00502485797238941,0.280043128798274,0.308855101219917,0.367485902755612,1,0.7815,0.9057,0
5,8,"balanced","negbin","heterogeneous",106886,10000,TRUE,0.0935576221394757,0.280043501903208,0.314736453516537,0.367502182316997,0.223,0.24773905090946,0.1623,0.0159
6,8,"balanced","negbin","heterogeneous",218998,10000,TRUE,0.0456625174659129,0.280044717719396,0.311946431416857,0.367504873678199,0.9444,0.38574297188755,0.4051,0.004
8,8,"balanced","negbin","heterogeneous",1111030,10000,TRUE,0.0090006570479645,0.280048076923077,0.307487808001683,0.36738994247964,1,0.61628488546564,0.7581,3e-04
10,8,"balanced","negbin","heterogeneous",5000000,8358,FALSE,0.0016716,0.280044973368524,0.30472456339888,0.367454399932601,1,0.788466140224934,0.909667384541756,0
5,3,"unbalanced","negbin","heterogeneous",132860,10000,TRUE,0.0752671985548698,0.280054644808743,0.318452164206389,0.367506117455139,0,0.101937316157825,0.1229,0.0141
6,3,"unbalanced","negbin","heterogeneous",192190,10000,TRUE,0.0520318434882148,0.280049674284843,0.316736921735225,0.367483199653154,0.3183,0.245355026614442,0.3034,0.0043
8,3,"unbalanced","negbin","heterogeneous",433706,10000,TRUE,0.0230570939761036,0.280046754675468,0.313912616810676,0.36748147238259,1,0.561068320496149,0.727,3e-04
10,3,"unbalanced","negbin","heterogeneous",1027867,10000,TRUE,0.00972888515732094,0.280044756089608,0.312431009791373,0.367493112947658,1,0.855585558555856,0.9252,1e-04
5,5,"unbalanced","negbin","heterogeneous",108163,10000,TRUE,0.0924530569603284,0.280049980205859,0.317127136785755,0.367496631140512,0.0219,0.162321193060769,0.1192,0.0143
6,5,"unbalanced","negbin","heterogeneous",185457,10000,TRUE,0.0539208549690764,0.280046800318641,0.315388150947613,0.367504064781458,0.5709,0.284048648105337,0.3291,0.0051
8,5,"unbalanced","negbin","heterogeneous",598355,10000,TRUE,0.0167124867344637,0.280043866487874,0.311178648118168,0.367482596342413,1,0.56648324162081,0.718,5e-04
10,5,"unbalanced","negbin","heterogeneous",1958410,10000,TRUE,0.00510618307708805,0.280044015930087,0.308905312914722,0.367395378559653,1,0.7727,0.9,0
5,8,"unbalanced","negbin","heterogeneous",107415,10000,TRUE,0.0930968672904157,0.280045942011566,0.314702710976413,0.367494824016563,0.2295,0.247427931139859,0.1627,0.0183
6,8,"unbalanced","negbin","heterogeneous",216498,10000,TRUE,0.046189803139059,0.280044344116773,0.312298087001891,0.367440966633836,0.9456,0.378427237119614,0.3972,0.0043
8,8,"unbalanced","negbin","heterogeneous",1138319,10000,TRUE,0.00878488367496282,0.280044965438224,0.307751904784618,0.367392161042956,1,0.613145258103241,0.7549,4e-04
10,8,"unbalanced","negbin","heterogeneous",5000000,8557,FALSE,0.0017114,0.28004565702974,0.304243576706535,0.367466561085195,1,0.786140002337268,0.909314011920065,0
