"n","k","balance","dist","var_type","attempts_total","accepted","complete","acceptance_rate","eta_min","eta_mean","eta_max","power_anova","power_welch","power_kw","welch_fail_rate"
5,3,"balanced","poisson","homogeneous",104974,10000,TRUE,0.0952616838455237,0.280293757649939,0.31998163675319,0.367469879518072,0,0.0943244600703164,0.0393,0.0045
6,3,"balanced","poisson","homogeneous",131735,10000,TRUE,0.0759099707746612,0.280069726902963,0.318976204159978,0.367469879518072,0.3506,0.325090108129756,0.2574,0.0012
8,3,"balanced","poisson","homogeneous",212588,10000,TRUE,0.0470393437070766,0.280092592592593,0.316436957888154,0.3675,1,0.853370674134827,0.9267,2e-04
10,3,"balanced","poisson","homogeneous",364401,10000,TRUE,0.0274422957126901,0.280044101433296,0.314309389062474,0.367497691597414,1,0.9968,0.9981,0
5,5,"balanced","poisson","homogeneous",84499,10000,TRUE,0.118344595794033,0.280045351473923,0.318382750470634,0.367502726281353,0.0234,0.20080604534005,0.0526,0.0075
6,5,"balanced","poisson","homogeneous",121008,10000,TRUE,0.0826391643527701,0.280045351473923,0.316278951870895,0.367505995203837,0.5895,0.406531757162893,0.3736,0.0018
8,5,"balanced","poisson","homogeneous",283355,10000,TRUE,0.0352914188914965,0.280044101433297,0.313144457711615,0.367487980769231,1,0.8693,0.9584,0
10,5,"balanced","poisson","homogeneous",694066,10000,TRUE,0.014407851702864,0.280047600158667,0.309999694628129,0.3675111263266,1,0.9877,0.9983,0
5,8,"balanced","poisson","homogeneous",78403,10000,TRUE,0.127546139816078,0.280043501903208,0.316066108827915,0.367501723741669,0.2443,0.296371171535429,0.1166,0.0107
6,8,"balanced","poisson","homogeneous",138924,10000,TRUE,0.0719818030002015,0.280043111190947,0.313456371660109,0.367467149977345,0.9495,0.54121540312876,0.5861,0.0028
8,8,"balanced","poisson","homogeneous",527637,10000,TRUE,0.0189524237307088,0.280049776571073,0.308534897413968,0.367503001959173,1,0.931593159315932,0.9857,1e-04
10,8,"balanced","poisson","homogeneous",2265380,10000,TRUE,0.00441427045352215,0.280043826883809,0.304161533805594,0.367445568232774,1,0.9944,0.9997,0
5,3,"unbalanced","poisson","homogeneous",105344,10000,TRUE,0.0949270959902795,0.280080213903743,0.319549587553142,0.3675,0,0.106095717884131,0.0381,0.0075
6,3,"unbalanced","poisson","homogeneous",133936,10000,TRUE,0.0746625253852586,0.280074914160857,0.318493817227453,0.367503504524022,0.3458,0.313201121794872,0.248,0.0016
8,3,"unbalanced","poisson","homogeneous",213411,10000,TRUE,0.0468579407809344,0.280046932766598,0.316411185442548,0.36742914688534,1,0.8535,0.9237,0
10,3,"unbalanced","poisson","homogeneous",371017,10000,TRUE,0.0269529428570658,0.280049245124085,0.314217393955406,0.367506102280169,1,0.993,0.998,0
5,5,"unbalanced","poisson","homogeneous",83093,10000,TRUE,0.120347080981551,0.280049725651577,0.318059535990179,0.3675,0.0251,0.189517353030456,0.0522,0.0117
6,5,"unbalanced","poisson","homogeneous",123756,10000,TRUE,0.0808041630304793,0.280054945054945,0.31670690152444,0.367508959760469,0.5922,0.401283465356462,0.3744,0.0027
8,5,"unbalanced","poisson","homogeneous",278691,10000,TRUE,0.0358820342242842,0.280045351473923,0.313307726757362,0.367470893061444,1,0.8714,0.962,0
10,5,"unbalanced","poisson","homogeneous",703515,10000,TRUE,0.0142143380027434,0.280043497669396,0.309772800590076,0.367506231142595,1,0.9876,0.9982,0
5,8,"unbalanced","poisson","homogeneous",78736,10000,TRUE,0.127006705954074,0.280044593088071,0.31589736874566,0.367495023438002,0.2424,0.297846403900853,0.1156,0.0156
6,8,"unbalanced","poisson","homogeneous",139532,10000,TRUE,0.071668147808388,0.280051813471503,0.313436148635024,0.367494277161472,0.9505,0.550416374034313,0.5882,0.0033
8,8,"unbalanced","poisson","homogeneous",514536,10000,TRUE,0.01943498608455,0.280049566294919,0.308048603501557,0.367507714648757,1,0.93378675735147,0.9877,2e-04
10,8,"unbalanced","poisson","homogeneous",2255262,10000,TRUE,0.00443407462192863,0.28005300530053,0.303961972346809,0.367495467495467,1,0.9949,0.9991,0
5,3,"balanced","negbin","homogeneous",131025,10000,TRUE,0.0763213127265789,0.280082276311279,0.31815728033833,0.367469879518072,0,0.085760354731432,0.1216,0.0077
6,3,"balanced","negbin","homogeneous",195285,10000,TRUE,0.0512072099751645,0.280051701852649,0.316691677431172,0.367497691597414,0.322,0.255161354980958,0.2965,0.0022
8,3,"balanced","negbin","homogeneous",437493,10000,TRUE,0.0228575085772801,0.280045351473923,0.314132159656162,0.367508366291451,1,0.561112222444489,0.738,2e-04
10,3,"balanced","negbin","homogeneous",1027751,10000,TRUE,0.00972998323523889,0.28005170185265,0.31199793011267,0.367485182049111,1,0.88018801880188,0.9275,1e-04
5,5,"balanced","negbin","homogeneous",108541,10000,TRUE,0.0921310841064667,0.280060309084056,0.316748596931519,0.3675,0.0216,0.168793033616849,0.1264,0.0124
6,5,"balanced","negbin","homogeneous",187604,10000,TRUE,0.0533037675102876,0.280050083472454,0.31509907634554,0.367467190429426,0.5685,0.293509880629953,0.3315,0.0031
8,5,"balanced","negbin","homogeneous",596309,10000,TRUE,0.0167698290651323,0.280046169383927,0.3111930637733,0.367483497603762,1,0.575872761828549,0.7328,3e-04
10,5,"balanced","negbin","homogeneous",1986972,10000,TRUE,0.00503278355205811,0.280052189754068,0.30872080591071,0.367506426735218,1,0.784378437843784,0.9128,1e-04
5,8,"balanced","negbin","homogeneous",105613,10000,TRUE,0.0946853133610446,0.280046674445741,0.314672144008563,0.367457751204929,0.2211,0.246962332928311,0.1595,0.0124
6,8,"balanced","negbin","homogeneous",221415,10000,TRUE,0.0451640584422916,0.280047469397622,0.312300881364073,0.367511057498995,0.9465,0.375313849553078,0.3962,0.0043
8,8,"balanced","negbin","homogeneous",1116493,10000,TRUE,0.00895661683503614,0.280046674445741,0.307829126546579,0.367489138453972,1,0.620696557245797,0.7604,8e-04
10,8,"balanced","negbin","homogeneous",5000000,8369,FALSE,0.0016738,0.280043192861811,0.304517749014644,0.367486556743212,1,0.792423518164436,0.910981001314374,0.000119488588839766
5,3,"unbalanced","negbin","homogeneous",132403,10000,TRUE,0.0755269895697227,0.280044812601847,0.318492398845787,0.367482517482517,0,0.106313975879193,0.1169,0.0133
6,3,"unbalanced","negbin","homogeneous",195321,10000,TRUE,0.0511977718729681,0.280054857142857,0.317303239784175,0.367495361781076,0.334,0.245277331189711,0.3038,0.0048
8,3,"unbalanced","negbin","homogeneous",440210,10000,TRUE,0.0227164307943936,0.280043589691845,0.314517807823317,0.367486197377502,1,0.563781890945473,0.733,5e-04
10,3,"unbalanced","negbin","homogeneous",1024678,10000,TRUE,0.00975916336644292,0.280046894512832,0.312143733052117,0.367511303985955,1,0.855671134226845,0.9227,2e-04
5,5,"unbalanced","negbin","homogeneous",111439,10000,TRUE,0.089735191450031,0.280057428677288,0.317028124237027,0.367454531201003,0.0232,0.161522842639594,0.1202,0.015
6,5,"unbalanced","negbin","homogeneous",186662,10000,TRUE,0.0535727678906258,0.280044559723331,0.314559909929992,0.367462081430281,0.5564,0.29471463022508,0.3363,0.0048
8,5,"unbalanced","negbin","homogeneous",593337,10000,TRUE,0.0168538284313973,0.280044747346087,0.311755534686531,0.367505258694599,1,0.564194936455519,0.729,7e-04
10,5,"unbalanced","negbin","homogeneous",1938766,10000,TRUE,0.00515792003779724,0.280047735753699,0.30824878291748,0.36750470935493,1,0.776977697769777,0.9081,1e-04
5,8,"unbalanced","negbin","homogeneous",105523,10000,TRUE,0.0947660699563128,0.280048076923077,0.314218524473306,0.367498227293238,0.2155,0.244399185336049,0.1594,0.018
6,8,"unbalanced","negbin","homogeneous",224040,10000,TRUE,0.044634886627388,0.280048684010345,0.31191908891928,0.367478876007074,0.9482,0.390775723472669,0.4095,0.0048
8,8,"unbalanced","negbin","homogeneous",1112112,10000,TRUE,0.00899190009639317,0.280045104784008,0.307808896516488,0.367485788900124,1,0.613345338135254,0.7609,4e-04
10,8,"unbalanced","negbin","homogeneous",5000000,8349,FALSE,0.0016698,0.280044829751249,0.304499713360474,0.367440399468724,1,0.785363516588813,0.911845730027548,0
5,3,"balanced","poisson","heterogeneous",105688,10000,TRUE,0.0946181212625842,0.280248190279214,0.319811888175192,0.367469879518072,0,0.0927192276749799,0.0385,0.0056
6,3,"balanced","poisson","heterogeneous",130770,10000,TRUE,0.0764701384109505,0.28005170185265,0.318318874191738,0.367485182049111,0.3404,0.322057646116894,0.2437,8e-04
8,3,"balanced","poisson","heterogeneous",216358,10000,TRUE,0.04621969143734,0.280070754716981,0.31678013793664,0.3675,1,0.8617,0.9312,0
10,3,"balanced","poisson","heterogeneous",369370,10000,TRUE,0.0270731245092996,0.280044101433296,0.314411704037664,0.367497691597415,1,0.9971,0.9976,0
5,5,"balanced","poisson","heterogeneous",83272,10000,TRUE,0.120088385051398,0.280045351473923,0.318592639557006,0.367502726281352,0.0242,0.19830798670561,0.0527,0.0071
6,5,"balanced","poisson","heterogeneous",120228,10000,TRUE,0.0831753002628339,0.280078895463511,0.316021586721755,0.367505995203837,0.584,0.401241987179487,0.3679,0.0016
8,5,"balanced","poisson","heterogeneous",285808,10000,TRUE,0.0349885237642053,0.280044101433296,0.312628672504484,0.367501578615028,1,0.872774554910982,0.9579,2e-04
10,5,"balanced","poisson","heterogeneous",703345,10000,TRUE,0.0142177736388259,0.280057595392369,0.309982568555574,0.367478720281773,1,0.9889,0.9991,0
5,8,"balanced","poisson","heterogeneous",78094,10000,TRUE,0.128050810561631,0.280046003450258,0.31640532279823,0.367509428691158,0.2458,0.299363057324841,0.1159,0.0109
6,8,"balanced","poisson","heterogeneous",138609,10000,TRUE,0.0721453873846576,0.280043501903208,0.313132359722565,0.367500993245927,0.9495,0.538569424964937,0.5818,0.0018
8,8,"balanced","poisson","heterogeneous",525071,10000,TRUE,0.0190450434322215,0.280050346129641,0.308306785713028,0.367495634371048,1,0.932593259325933,0.9883,1e-04
10,8,"balanced","poisson","heterogeneous",2221375,10000,TRUE,0.00450171627933149,0.280044717719396,0.304201920702414,0.367510985673967,1,0.995199519951995,0.9996,1e-04
5,3,"unbalanced","poisson","heterogeneous",105314,10000,TRUE,0.0949541371517557,0.280133928571428,0.319939554604358,0.36744966442953,0,0.104838709677419,0.0372,0.008
6,3,"unbalanced","poisson","heterogeneous",130667,10000,TRUE,0.0765304170142423,0.28007279344859,0.318750946883876,0.367502951593861,0.3522,0.311767651477216,0.2562,0.0015
8,3,"unbalanced","poisson","heterogeneous",216587,10000,TRUE,0.0461708228102333,0.280050959232614,0.31637256770767,0.367454661991479,1,0.8516,0.9231,0
10,3,"unbalanced","poisson","heterogeneous",368364,10000,TRUE,0.0271470610591697,0.280052321778941,0.314333534046423,0.367493112947658,1,0.9948,0.9972,0
5,5,"unbalanced","poisson","heterogeneous",83590,10000,TRUE,0.119631534872592,0.280044059556366,0.318314104485095,0.3675,0.0242,0.192746742095161,0.0515,0.0101
6,5,"unbalanced","poisson","heterogeneous",121908,10000,TRUE,0.0820290711027988,0.280047782406273,0.316287789333017,0.367506710408589,0.5844,0.405974338412189,0.3759,0.0024
8,5,"unbalanced","poisson","heterogeneous",282162,10000,TRUE,0.035440633395,0.28004722117519,0.313132152780466,0.367504202555749,1,0.868760628188457,0.9575,3e-04
10,5,"unbalanced","poisson","heterogeneous",708614,10000,TRUE,0.0141120553644156,0.280050067831419,0.309501397427492,0.367483821884911,1,0.99,0.9991,0
5,8,"unbalanced","poisson","heterogeneous",77490,10000,TRUE,0.129048909536714,0.280059523809524,0.315792962178463,0.367508543802617,0.2356,0.292170204123083,0.1155,0.0153
6,8,"unbalanced","poisson","heterogeneous",137002,10000,TRUE,0.0729916351586108,0.280045805897509,0.313124237055719,0.367420851640455,0.9514,0.52820152549177,0.5731,0.0036
8,8,"unbalanced","poisson","heterogeneous",517932,10000,TRUE,0.0193075538873829,0.280043756837006,0.307914826212227,0.367409492532645,1,0.928292829282928,0.9833,1e-04
10,8,"unbalanced","poisson","heterogeneous",2200928,10000,TRUE,0.00454353799851699,0.280053538093058,0.304202056625467,0.36746989180841,1,0.9942,0.9997,0
5,3,"balanced","negbin","heterogeneous",132811,10000,TRUE,0.0752949680372861,0.280091708062667,0.318437263871055,0.3675,0,0.0861234368697055,0.1179,0.0084
6,3,"balanced","negbin","heterogeneous",191457,10000,TRUE,0.0522310492695488,0.280045784051889,0.31690357200164,0.367478180983004,0.3267,0.257045431752081,0.3125,0.0029
8,3,"balanced","negbin","heterogeneous",443101,10000,TRUE,0.022568218081205,0.280063570545647,0.314237397006466,0.367469879518072,1,0.565713142628526,0.7377,2e-04
10,3,"balanced","negbin","heterogeneous",1025981,10000,TRUE,0.00974676918968285,0.280044427989633,0.312135461404839,0.367498376773954,1,0.883,0.9352,0
5,5,"balanced","negbin","heterogeneous",111005,10000,TRUE,0.0900860321607135,0.280057595392369,0.317059742903073,0.367510996511452,0.0206,0.159458367016977,0.126,0.0104
6,5,"balanced","negbin","heterogeneous",187972,10000,TRUE,0.053199412678484,0.28005115089514,0.314676648304082,0.3675111263266,0.5615,0.293290478103656,0.3265,0.0044
